"","Local Authority Code","Petrol2024Q4","Diesel2024Q4","Hybrid2024Q4","BEV2024Q4","PHEV2024Q4","TotalCars","Petrol","Diesel","Hybrid","BEV","PHEV","Local Authority","link_length_km","link_length_miles","cars_and_taxis","all_motor_vehicles","PetrolMile","DieselMile","HybridMile","BEVMile","PHEVMile","PetrolCO2e","DieselCO2e","HybridCO2e","BEVCO2e","PHEVCO2e","BaseCO2e","pCarBaseCO2e","pCarAnnMile","pBEVAnnCO2e","pHyVAnnCO2e","reduceCO2pBEVcc","reduceCO2pHyVc"
"5","E06000047",132500,98400,13100,5218,2166,251384,0.527082073640327,0.391433026763835,0.0521115106768927,0.0207570887566432,0.0086163001623015,"Durham",3859.47,2398.16,2110400000,2813600000,1112354008.21055,826080259.682398,109976132.132514,43805760.1120199,18183839.8625211,294473476.593578,225800778.181587,22311957.6870445,3344569.78455272,3162533.42888967,549093315.675652,2184.28108262917,8395.12459026827,640.967762466983,1703.20287687363,1543.31332016219,481.078205755543
"6","E06000005",33000,19500,4300,1110,645,58555,0.563572709418495,0.333020237383656,0.0734352318333191,0.0189565365895312,0.0110152847749979,"Darlington",563.27,350,419300000,539900000,236306037.059175,139635385.534967,30791392.7077107,7948475.79199044,4618708.90615661,62557297.1906754,38167936.2821279,6246957.75254035,606866.12671847,803285.852958757,108382343.205021,1850.94941858118,7160.78900179319,546.72624028691,1452.7808726838,1304.22317829427,398.168545897377
"7","E06000001",22200,17200,1800,685,311,42196,0.526116219546876,0.407621575504787,0.0426580718551521,0.0162337662337662,0.00737036685941795,"Hartlepool",416.91,259.06,333400000,421400000,175407147.596929,135901033.273296,14222201.1565077,5412337.66233766,2457280.31092995,46435534.1833349,37147188.4349227,2885400.17063229,413231.98051948,427370.191676936,87308724.9610864,2069.12325720652,7901.22286472651,603.258365721869,1603.00009479572,1465.86489148465,466.123162410806
"8","E06000002",32700,24000,3400,864,432,61396,0.532607987491042,0.390904944947554,0.0553782005342368,0.0140725780181119,0.00703628900905596,"Middlesbrough",576.78,358.39,730900000,896500000,389283178.057202,285712424.262167,40475926.7704737,10285647.273438,5142823.636719,103054935.727083,78096634.0478207,8211756.02319369,785309.169326992,894439.886898169,191043074.854323,3111.65344410585,11904.684344257,908.922649684019,2415.22235976285,2202.73079442183,696.431084342999
"9","E06000057",92600,62300,9200,4050,1946,170096,0.544398457341736,0.366263756937259,0.0540871037531747,0.0238100837174302,0.0114405982503998,"Northumberland",5011.45,3113.97,1.587e+09,2082700000,863960351.801336,581260582.25943,85836233.6562882,37786602.8595617,18156229.4233844,228716223.932368,158881767.554793,17414455.0841878,2885007.12832753,3157731.42131502,411055185.120991,2416.60700499124,9330.02539742263,712.347439093218,1892.8755526291,1704.25956589803,523.731452362139
"10","E06000003",37300,25300,3100,997,407,67104,0.555853600381497,0.377026704816404,0.0461969480209824,0.0148575345731998,0.00606521220791607,"Redcar and Cleveland",664.47,412.88,4.93e+08,610100000,274035824.988078,185874165.474487,22775095.3743443,7324764.54458751,2990149.61850262,72545503.9490939,50806844.3907964,4620611.34954697,559245.772979256,520046.821649976,129052252.284067,1923.16780347023,7346.8049594659,560.928558655222,1490.51979017644,1362.23924481501,432.64801329379
"11","E06000004",52900,34800,5400,2048,899,96047,0.550772017866253,0.36232261288744,0.0562224744135684,0.0213228939998126,0.00936000083292555,"Stockton-on-Tees",871.77,541.69,765700000,964500000,421726134.08019,277430424.687913,43049548.6584693,16326939.9356565,7166952.63777109,111643559.475049,75832832.2841942,8733892.43183025,1246561.86408737,1246476.40276115,198703322.457922,2068.81341903362,7972.13864045728,608.672785198913,1617.38748737597,1460.1406338347,451.425931657643
"13","E08000037",46200,27800,4500,1813,712,81025,0.570194384449244,0.343103980253008,0.0555384140697316,0.0223758099352052,0.00878741129281086,"Gateshead",916.45,569.46,8.71e+08,1104100000,496639308.855292,298843566.80037,48373958.6547362,19489330.4535637,7653835.23603826,131475324.233261,81685900.5492132,9814108.73187288,1488010.38012959,1331155.02425177,225794498.918729,2786.72630569243,10749.7685899414,820.744831842024,2180.91305152731,1965.9814738504,605.813254165119
"14","E08000021",58100,36500,6300,2563,1235,104698,0.55492941603469,0.348621750176699,0.0601730692085809,0.024479932758983,0.0117958318210472,"Newcastle upon Tyne",1015.77,631.17,935100000,1135400000,518914496.934039,325996198.590231,56267837.016944,22891185.122925,11030282.3358612,137372234.773348,89107800.9226537,11415618.7739976,1747741.98413532,1918386.70385299,241561783.157988,2307.22442795457,8931.40270110222,681.912596229154,1812.00297999962,1625.31183172542,495.221447954954
"15","E08000022",55800,29800,5100,2088,941,93729,0.595333354671446,0.317937884752851,0.054412188330186,0.0222769900457703,0.0100395821997461,"North Tyneside",822.25,510.92,699100000,847400000,416197548.250808,222270375.230718,38039560.861633,15573843.740998,7018671.91584248,110179976.948436,60755384.3655646,7717466.1076081,1189062.9696252,1220687.41960332,181062577.810838,1931.76687909652,7458.73742384961,569.474602310918,1513.22864855061,1362.2922767856,418.53823054591
