"","LSOA11CD","BodyType","Keepership","LicenceStatus","2024 Q4"
"1","95AA01S1","Cars","Total","Licensed","1145"
"2","95AA01S2","Cars","Total","Licensed","1319"
"3","95AA01S3","Cars","Total","Licensed","1126"
"4","95AA02W1","Cars","Total","Licensed","823"
"5","95AA03W1","Cars","Total","Licensed","890"
"6","95AA04W1","Cars","Total","Licensed","2289"
"7","95AA05W1","Cars","Total","Licensed","1585"
"8","95AA06S1","Cars","Total","Licensed","1145"
"9","95AA06S2","Cars","Total","Licensed","1352"
"10","95AA07W1","Cars","Total","Licensed","1532"
"11","95AA08W1","Cars","Total","Licensed","1146"
"12","95AA09W1","Cars","Total","Licensed","1091"
"13","95AA10W1","Cars","Total","Licensed","908"
"14","95AA11S1","Cars","Total","Licensed","1612"
"15","95AA11S2","Cars","Total","Licensed","1990"
"16","95AA12W1","Cars","Total","Licensed","1968"
"17","95AA13S1","Cars","Total","Licensed","1130"
"18","95AA13S2","Cars","Total","Licensed","767"
"19","95AA14W1","Cars","Total","Licensed","1691"
"20","95AA15S1","Cars","Total","Licensed","1529"
"21","95AA15S2","Cars","Total","Licensed","729"
"22","95AA16W1","Cars","Total","Licensed","705"
"23","95AA17W1","Cars","Total","Licensed","973"
"24","95AA18W1","Cars","Total","Licensed","1800"
"25","95AA19W1","Cars","Total","Licensed","1746"
"26","95BB01S1","Cars","Total","Licensed","1221"
"27","95BB01S2","Cars","Total","Licensed","1278"
"28","95BB02W1","Cars","Total","Licensed","1460"
"29","95BB03S1","Cars","Total","Licensed","1077"
"30","95BB03S2","Cars","Total","Licensed","1463"
"31","95BB04S1","Cars","Total","Licensed","927"
"32","95BB04S2","Cars","Total","Licensed","1406"
"33","95BB05S1","Cars","Total","Licensed","1156"
"34","95BB05S2","Cars","Total","Licensed","1411"
"35","95BB06W1","Cars","Total","Licensed","1776"
"36","95BB07S1","Cars","Total","Licensed","882"
"37","95BB07S2","Cars","Total","Licensed","876"
"38","95BB08S1","Cars","Total","Licensed","612"
"39","95BB08S2","Cars","Total","Licensed","767"
"40","95BB09S1","Cars","Total","Licensed","844"
"41","95BB09S2","Cars","Total","Licensed","1225"
"42","95BB10S1","Cars","Total","Licensed","945"
"43","95BB10S2","Cars","Total","Licensed","1552"
"44","95BB11S1","Cars","Total","Licensed","648"
"45","95BB11S2","Cars","Total","Licensed","923"
"46","95BB12S1","Cars","Total","Licensed","528"
"47","95BB12S2","Cars","Total","Licensed","999"
"48","95BB13S1","Cars","Total","Licensed","770"
"49","95BB13S2","Cars","Total","Licensed","673"
"50","95BB13S3","Cars","Total","Licensed","889"
"51","95BB14S1","Cars","Total","Licensed","1246"
"52","95BB14S2","Cars","Total","Licensed","1098"
"53","95BB15S1","Cars","Total","Licensed","1286"
"54","95BB15S2","Cars","Total","Licensed","855"
"55","95BB16S1","Cars","Total","Licensed","1225"
"56","95BB16S2","Cars","Total","Licensed","1447"
"57","95BB17S1","Cars","Total","Licensed","995"
"58","95BB17S2","Cars","Total","Licensed","1304"
"59","95BB18S1","Cars","Total","Licensed","957"
"60","95BB18S2","Cars","Total","Licensed","1693"
"61","95BB19S1","Cars","Total","Licensed","1037"
"62","95BB19S2","Cars","Total","Licensed","1223"
"63","95BB19S3","Cars","Total","Licensed","807"
"64","95BB20S1","Cars","Total","Licensed","1080"
"65","95BB20S2","Cars","Total","Licensed","671"
"66","95BB21S1","Cars","Total","Licensed","1442"
"67","95BB21S2","Cars","Total","Licensed","1682"
"68","95BB22S1","Cars","Total","Licensed","757"
"69","95BB22S2","Cars","Total","Licensed","595"
"70","95BB23S1","Cars","Total","Licensed","1105"
"71","95BB23S2","Cars","Total","Licensed","854"
"72","95CC01W1","Cars","Total","Licensed","1142"
"73","95CC02W1","Cars","Total","Licensed","1883"
"74","95CC03W1","Cars","Total","Licensed","1236"
"75","95CC04W1","Cars","Total","Licensed","1614"
"76","95CC05W1","Cars","Total","Licensed","1821"
"77","95CC06S1","Cars","Total","Licensed","1065"
"78","95CC06S2","Cars","Total","Licensed","700"
"79","95CC07W1","Cars","Total","Licensed","2432"
"80","95CC08W1","Cars","Total","Licensed","1240"
"81","95CC09S1","Cars","Total","Licensed","1078"
"82","95CC09S2","Cars","Total","Licensed","1296"
"83","95CC10W1","Cars","Total","Licensed","1699"
"84","95CC11W1","Cars","Total","Licensed","829"
"85","95CC12W1","Cars","Total","Licensed","1953"
"86","95CC13W1","Cars","Total","Licensed","1649"
"87","95CC14W1","Cars","Total","Licensed","1951"
"88","95CC15W1","Cars","Total","Licensed","1959"
"89","95CC16W1","Cars","Total","Licensed","1915"
"90","95CC17W1","Cars","Total","Licensed","1944"
"91","95CC18W1","Cars","Total","Licensed","1660"
"92","95CC19W1","Cars","Total","Licensed","1942"
"93","95CC20S1","Cars","Total","Licensed","733"
"94","95CC20S2","Cars","Total","Licensed","943"
"95","95CC21W1","Cars","Total","Licensed","1846"
"96","95CC22W1","Cars","Total","Licensed","954"
"97","95DD01W1","Cars","Total","Licensed","1330"
"98","95DD02S1","Cars","Total","Licensed","763"
"99","95DD02S2","Cars","Total","Licensed","1686"
"100","95DD03W1","Cars","Total","Licensed","2128"
"101","95DD04W1","Cars","Total","Licensed","885"
"102","95DD05W1","Cars","Total","Licensed","799"
"103","95DD06W1","Cars","Total","Licensed","1431"
