"","LSOA21CD","MSOA21CD"
"1","S01006514","S02001237"
"2","S01006853","S02001296"
"3","S01006511","S02001236"
"4","S01006506","S02001236"
"5","S01006513","S02001237"
"6","S01006516","S02001237"
"7","S01006515","S02001237"
"8","S01006508","S02001236"
"9","S01006507","S02001236"
"10","S01006857","S02001296"
"11","S01006512","S02001236"
"12","S01006510","S02001236"
"13","S01006509","S02001236"
"14","S01006589","S02001250"
"15","S01006646","S02001261"
"16","S01006586","S02001249"
"17","S01006588","S02001250"
"18","S01006647","S02001261"
"19","S01006648","S02001261"
"20","S01006645","S02001261"
"21","S01006652","S02001261"
"22","S01006656","S02001262"
"23","S01006564","S02001246"
"24","S01006584","S02001249"
"25","S01006565","S02001246"
"26","S01006585","S02001249"
"27","S01007037","S02001327"
"28","S01006571","S02001247"
"29","S01006570","S02001246"
"30","S01006587","S02001250"
"31","S01006637","S02001259"
"32","S01006582","S02001249"
"33","S01006590","S02001250"
"34","S01006583","S02001249"
"35","S01006595","S02001251"
"36","S01006591","S02001251"
"37","S01006593","S02001251"
"38","S01006592","S02001251"
"39","S01006596","S02001251"
"40","S01006598","S02001252"
"41","S01006602","S02001252"
"42","S01006597","S02001251"
"43","S01006594","S02001251"
"44","S01006627","S02001257"
"45","S01006628","S02001257"
"46","S01006624","S02001257"
"47","S01006625","S02001257"
"48","S01006626","S02001257"
"49","S01006629","S02001257"
"50","S01006632","S02001258"
"51","S01006635","S02001258"
"52","S01006631","S02001258"
"53","S01006633","S02001258"
"54","S01006634","S02001258"
"55","S01006636","S02001258"
"56","S01006623","S02001256"
"57","S01006630","S02001257"
"58","S01006614","S02001255"
"59","S01006616","S02001255"
"60","S01006608","S02001254"
"61","S01006613","S02001255"
"62","S01006615","S02001255"
"63","S01006619","S02001256"
"64","S01006620","S02001256"
"65","S01006622","S02001256"
"66","S01006621","S02001256"
"67","S01006848","S02001295"
"68","S01006617","S02001255"
"69","S01006851","S02001295"
"70","S01006618","S02001255"
"71","S01006842","S02001294"
"72","S01006850","S02001295"
"73","S01006847","S02001294"
"74","S01006852","S02001295"
"75","S01006821","S02001290"
"76","S01006849","S02001295"
"77","S01006844","S02001294"
"78","S01006843","S02001294"
"79","S01006845","S02001294"
"80","S01006846","S02001294"
"81","S01006607","S02001253"
"82","S01006609","S02001254"
"83","S01006605","S02001253"
"84","S01006610","S02001254"
"85","S01006611","S02001254"
"86","S01006612","S02001254"
"87","S01006603","S02001253"
"88","S01006604","S02001253"
"89","S01006606","S02001253"
"90","S01006601","S02001252"
"91","S01006574","S02001247"
"92","S01006600","S02001252"
"93","S01006536","S02001240"
"94","S01006579","S02001248"
"95","S01006535","S02001240"
"96","S01006534","S02001240"
"97","S01006533","S02001240"
"98","S01006532","S02001240"
"99","S01006539","S02001241"
"100","S01006575","S02001248"
"101","S01006545","S02001242"
"102","S01006581","S02001248"
"103","S01006576","S02001248"
"104","S01006578","S02001248"
"105","S01006580","S02001248"
"106","S01006577","S02001248"
"107","S01006544","S02001242"
"108","S01006540","S02001241"
"109","S01006528","S02001239"
"110","S01006527","S02001239"
"111","S01006529","S02001239"
"112","S01006531","S02001239"
"113","S01006530","S02001239"
"114","S01006526","S02001239"
"115","S01006599","S02001252"
"116","S01006537","S02001241"
"117","S01006538","S02001241"
"118","S01006543","S02001242"
"119","S01006541","S02001241"
"120","S01006542","S02001242"
"121","S01006546","S02001242"
"122","S01006550","S02001243"
"123","S01006548","S02001243"
"124","S01006735","S02001275"
"125","S01006547","S02001243"
"126","S01006551","S02001243"
"127","S01006733","S02001275"
"128","S01006734","S02001275"
"129","S01006732","S02001275"
"130","S01006737","S02001275"
"131","S01006517","S02001237"
"132","S01006934","S02001308"
"133","S01006518","S02001238"
"134","S01006519","S02001238"
"135","S01006524","S02001238"
"136","S01006520","S02001238"
"137","S01006525","S02001238"
"138","S01006522","S02001238"
"139","S01006523","S02001238"
"140","S01006521","S02001238"
"141","S01006563","S02001245"
"142","",""
"143","S01006640","S02001259"
"144","S01006639","S02001259"
"145","S01006941","S02001310"
"146","S01006572","S02001247"
"147","S01006573","S02001247"
"148","S01006560","S02001245"
"149","S01006559","S02001245"
"150","S01006549","S02001243"
"151","S01006703","S02001270"
"152","S01006554","S02001244"
"153","S01006562","S02001245"
"154","S01006558","S02001245"
"155","S01006561","S02001245"
"156","S01006552","S02001243"
"157","S01006556","S02001244"
"158","S01006553","S02001244"
"159","S01006555","S02001244"
"160","S01006701","S02001270"
"161","S01006557","S02001244"
"162","S01006736","S02001275"
"163","S01006696","S02001269"
"164","S01006697","S02001269"
"165","S01006700","S02001269"
"166","S01006695","S02001269"
"167","S01006698","S02001269"
"168","S01006694","S02001269"
"169","S01006699","S02001269"
"170","S01006713","S02001271"
"171","S01006705","S02001270"
"172","S01006723","S02001273"
"173","S01006722","S02001273"
"174","S01006717","S02001272"
"175","S01006714","S02001272"
"176","S01006716","S02001272"
"177","S01006707","S02001270"
"178","S01006702","S02001270"
"179","S01006724","S02001273"
"180","S01006715","S02001272"
"181","S01006711","S02001271"
"182","S01006709","S02001271"
"183","S01006710","S02001271"
"184","S01006708","S02001271"
"185","S01006712","S02001271"
"186","S01006704","S02001270"
"187","S01006706","S02001270"
"188","S01006718","S02001272"
"189","S01006729","S02001274"
"190","S01006728","S02001274"
"191","S01006730","S02001274"
"192","S01006727","S02001274"
"193","S01006725","S02001273"
"194","S01006720","S02001273"
