Local.Authority.Code,Petrol2024Q2,Diesel2024Q2,Hybrid2024Q2,BEV2024Q2,PHEV2024Q2,TotalCars,Petrol,Diesel,Hybrid,BEV,PHEV,Local.Authority,link_length_km,link_length_miles,cars_and_taxis,all_motor_vehicles,PetrolMile,DieselMile,HybridMile,BEVMile,PHEVMile,PetrolCO2e,DieselCO2e,HybridCO2e,BEVCO2e,PHEVCO2e,BaseCO2e,pCarBaseCO2e,pCarAnnMile,pBEVAnnCO2e,pHyVAnnCO2e,reduceCO2pBEVcc,reduceCO2pHyVc
E06000047,133500,100800,11200,4075,1849,251424,0.530975563,0.40091638,0.044546264,0.016207681,0.007354111,Durham,3850.46,2392.56,2091600000,2791700000,1110588488,838556701,93172966.78,33899985.68,15381858.53,294006090.4,229211088.7,18902931.5,2588263.907,2675212.836,547383587.3,2177.133397,8319.014891,635.1567869,1687.761741,1541.976611,489.3716563
E06000005,33600,20000,3900,975,493,58968,0.56980057,0.339167006,0.066137566,0.016534392,0.008360467,Darlington,559.5,347.66,408900000,525600000,232991453,138685388.7,27043650.79,6760912.698,3418594.831,61679827.35,37908264.14,5486615.873,516195.6845,594562.013,106185465.1,1800.730312,6934.269434,529.4314713,1406.824583,1271.298841,393.9057296
E06000001,22300,17400,1500,547,262,42009,0.53083863,0.414196958,0.035706634,0.013021019,0.006236759,Hartlepool,411.94,255.97,323400000,411400000,171673212.9,133951296.2,11547525.53,4210997.643,2016967.793,45447049.65,36614247.29,2342761.98,321509.6701,350791.0385,85076359.62,2025.19364,7698.350353,587.7690495,1561.84132,1437.424591,463.3523203
E06000002,32800,24200,2800,660,370,60830,0.539207628,0.397830018,0.046029919,0.01084991,0.006082525,Middlesbrough,566.26,351.86,655200000,806300000,353288837.7,260658227.8,30158803.22,7108860.759,3985270.426,93526154.02,71248320,6118617.998,542761.519,693118.2325,172128971.8,2829.672395,10771.00115,822.3659379,2185.220713,2007.306457,644.4516812
E06000057,93400,63700,7800,3345,1712,169957,0.549550769,0.374800685,0.045893961,0.019681449,0.010073136,Northumberland,4995.41,3104,1554800000,2043100000,854441535.2,582740104.9,71355931.21,30600716.65,15661712.08,226196307.6,159286180.3,14476691.32,2336364.716,2723884.965,405019428.9,2383.070005,9148.196308,698.4647882,1855.986067,1684.605217,527.0839382
E06000003,37600,25800,2600,772,324,67096,0.560391081,0.384523668,0.038750447,0.011505902,0.004828902,Redcar and Cleveland,661.52,411.05,477800000,592500000,267754858.7,183725408.4,18514963.63,5497519.971,2307249.314,70882743.75,50219503.12,3756315.822,419735.6498,401276.8008,125679575.1,1873.130666,7121.139859,543.6990283,1444.736855,1329.431637,428.393811
E06000004,53600,35700,4500,1653,760,96213,0.557097274,0.371051729,0.046771226,0.01718063,0.00789914,Stockton-on-Tees,862.2,535.75,720200000,906600000,401221456.6,267231455.2,33684637.21,12373490.07,5688960.951,106215356.2,73045045.97,6833939.197,944715.9668,989424.0886,188028481.4,1954.293925,7485.474936,571.5160113,1518.653155,1382.777914,435.6407701
E08000037,46500,28400,3900,1389,591,80780,0.575637534,0.351572171,0.048279277,0.01719485,0.007316167,Gateshead,912.94,567.27,8.54E+08,1080500000,491594454.1,300242634.3,41230502.6,14684402.08,6248006.932,130139799.8,82068321.66,8364844.367,1121154.099,1086653.366,222780773.3,2757.87043,10571.92374,807.1663778,2144.831889,1950.704052,613.0385408
E08000021,58100,37300,5200,2137,1014,103751,0.559994602,0.359514607,0.050119999,0.020597392,0.0097734,Newcastle upon Tyne,1006.82,625.61,886400000,1080700000,496379215.6,318673747.7,44426366.97,18257528.12,8663141.56,131406469.8,87106282.2,9013221.332,1393962.272,1506693.58,230426629.1,2220.958151,8543.532111,652.2986766,1733.311795,1568.659474,487.6463565
E08000022,56100,30500,4400,1744,820,93564,0.599589586,0.325980078,0.047026634,0.018639648,0.008764055,North Tyneside,816.67,507.46,6.83E+08,830700000,409519687.1,222644393.1,32119191.14,12730879.4,5985849.258,108412146.8,60857618.42,6516341.499,972002.642,1041058.903,177799168.2,1900.294646,7299.816169,557.3409645,1480.986704,1342.953681,419.3079413
E08000023,35800,22400,2600,1011,527,62338,0.574288556,0.359331387,0.041708107,0.016218037,0.008453913,South Tyneside,572.61,355.8,410700000,511500000,235860309.9,147577400.6,17129519.72,6660747.858,3472021.881,62439299.85,40338806.69,3475236.96,508548.099,603854.0455,107365745.6,1722.316174,6588.276814,503.0149347,1336.6296,1219.301239,385.6865738
E08000024,67200,43700,5100,1872,792,118664,0.566304861,0.368266703,0.042978494,0.015775635,0.006674307,Sunderland,1187.36,737.79,867300000,1086700000,491156205.8,319397711.2,37275247.76,13682208.59,5788626.711,130023782.4,87304170.38,7562402.265,1044636.626,1006757.958,226941749.6,1912.473451,7308.872109,558.0323856,1482.823974,1354.441065,429.6494773
