"","Local Authority Code","Petrol2024Q2","Diesel2024Q2","Hybrid2024Q2","BEV2024Q2","PHEV2024Q2","TotalCars","Petrol","Diesel","Hybrid","BEV","PHEV","Local Authority","link_length_km","link_length_miles","cars_and_taxis","all_motor_vehicles","PetrolMile","DieselMile","HybridMile","BEVMile","PHEVMile","PetrolCO2e","DieselCO2e","HybridCO2e","BEVCO2e","PHEVCO2e","BaseCO2e","pCarBaseCO2e","pCarAnnMile","pBEVAnnCO2e","pHyVAnnCO2e","reduceCO2pBEVcc","reduceCO2pHyVc"
"1","K02000001",NA,NA,NA,0,613640,613640,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"2","K03000001",NA,NA,NA,0,604385,604385,NA,NA,NA,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"3","E92000001",NA,NA,NA,983543,556180,1539723,NA,NA,NA,0.638779183008892,0.361220816991108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"4","E12000001",671000,450100,55600,20218,9526,1206444,0.556179980173137,0.373079894300937,0.0460858523064477,0.0167583410419381,0.00789593217753994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"5","E06000047",133500,100800,11200,4075,1849,251424,0.530975563192058,0.400916380297824,0.044546264477536,0.0162076810487463,0.00735411098383607,"Durham",3850.46,2392.56,2091600000,2791700000,1110588487.97251,838556701.030928,93172966.7812142,33899985.6815578,15381858.5337915,294006090.420962,229211088.659794,18902931.5005727,2588263.90678694,2675212.83619702,547383587.324313,2177.13339746529,8319.01489117984,635.156786941581,1687.76174112257,1541.97661052371,489.371656342723
"6","E06000005",33600,20000,3900,975,493,58968,0.56980056980057,0.339167005833672,0.0661375661375661,0.0165343915343915,0.00836046669380003,"Darlington",559.5,347.66,408900000,525600000,232991452.991453,138685388.685389,27043650.7936508,6760912.6984127,3418594.83109483,61679827.3504274,37908264.1432641,5486615.87301587,516195.684523809,594562.013024013,106185465.064255,1800.73031244497,6934.26943426943,529.431471306471,1406.82458282458,1271.2988411385,393.905729620391
"7","E06000001",22300,17400,1500,547,262,42009,0.53083862981742,0.414196957794758,0.0357066342926516,0.0130210193053869,0.00623675878978314,"Hartlepool",411.94,255.97,323400000,411400000,171673212.882954,133951296.150825,11547525.5302435,4210997.64336214,2016967.79261587,45447049.6465043,36614247.2898665,2342761.97957581,321509.670070699,350791.038491752,85076359.624509,2025.19364004163,7698.35035349568,587.769049489395,1561.8413197172,1437.42459055224,463.352320324431
"8","E06000002",32800,24200,2800,660,370,60830,0.539207627815223,0.397830018083183,0.046029919447641,0.0108499095840868,0.00608252506986684,"Middlesbrough",566.26,351.86,655200000,806300000,353288837.744534,260658227.848101,30158803.2220944,7108860.75949367,3985270.42577675,93526154.0161105,71248320,6118617.9976985,542761.518987342,693118.232451093,172128971.765247,2829.67239462843,10771.001150748,822.365937859609,2185.22071346375,2007.30645676882,644.451681164679
"9","E06000057",93400,63700,7800,3345,1712,169957,0.549550768723854,0.374800684879116,0.0458939614137694,0.0196814488370588,0.0100731361462017,"Northumberland",4995.41,3104,1554800000,2043100000,854441535.211848,582740104.85005,71355931.2061286,30600716.651859,15661712.0801144,226196307.616632,159286180.259713,14476691.3230994,2336364.71636943,2723884.96497349,405019428.880788,2383.07000524125,9148.19630847803,698.464788152297,1855.98606706402,1684.60521708896,527.08393817723
"10","E06000003",37600,25800,2600,772,324,67096,0.560391081435555,0.38452366758078,0.0387504471205437,0.0115059019911768,0.00482890187194468,"Redcar and Cleveland",661.52,411.05,477800000,592500000,267754858.709908,183725408.370097,18514963.6341958,5497519.97138429,2307249.31441517,70882743.746274,50219503.1238822,3756315.82210564,419735.64981519,401276.800763086,125679575.14284,1873.13066565578,7121.13985930607,543.699028258018,1444.73685465602,1329.43163739776,428.393810999763
"11","E06000004",53600,35700,4500,1653,760,96213,0.557097273757185,0.371051728976334,0.0467712263415547,0.0171806304761311,0.0078991404487959,"Stockton-on-Tees",862.2,535.75,720200000,906600000,401221456.559924,267231455.208756,33684637.2111877,12373490.0689096,5688960.95122281,106215356.195109,73045045.9667613,6833939.19740576,944715.966761249,989424.088636671,188028481.414674,1954.29392508989,7485.47493581948,571.516011349818,1518.65315497906,1382.77791374007,435.640770110834
"12","E11000007",263800,162400,21200,8161,3744,459305,0.57434602279531,0.353577688028652,0.046156693264824,0.0177681497044448,0.00815144620676892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA
"13","E08000037",46500,28400,3900,1389,591,80780,0.57563753404308,0.351572171329537,0.0482792770487745,0.0171948502104481,0.00731616736816044,"Gateshead",912.94,567.27,8.54e+08,1080500000,491594454.07279,300242634.315425,41230502.5996534,14684402.0797227,6248006.93240901,130139799.82669,82068321.6637782,8364844.36741768,1121154.09878683,1086653.36568458,222780773.322357,2757.87042983854,10571.9237435009,807.166377816291,2144.83188908146,1950.70405202225,613.038540757081
"14","E08000021",58100,37300,5200,2137,1014,103751,0.559994602461663,0.359514607088124,0.0501199988433846,0.0205973918323679,0.00977339977446001,"Newcastle upon Tyne",1006.82,625.61,886400000,1080700000,496379215.622018,318673747.722914,44426366.9747761,18257528.1202109,8663141.56008135,131406469.751617,87106282.2025812,9013221.33184258,1393962.2719781,1506693.58012935,230426629.138148,2220.9581511325,8543.53211053387,652.298676639261,1733.31179458511,1568.65947449324,487.646356547388
